Id,Retweets,Favorites,Hashtags,Medias,Mentions,SenderId,SenderFavorites,SenderFollowings,SenderFollowers,SenderStatues,Letter,Words,AvgWordLength,IsCyberbullying
1160450000000000000.00,59,246,0,1,0,19149088,70201,23446,44846,86069,34,7,4,TRUE
1160470000000000000.00,0,0,0,0,0,58467170,3308,1269,273,4914,89,11,8,TRUE
1160540000000000000.00,0,0,0,0,0,33880747,22907,487,753,7765,176,32,5,TRUE
1160550000000000000.00,0,0,0,0,1,94311180,31884,395,400,28353,20,5,4,TRUE
1160590000000000000.00,0,0,0,0,1,62655602,399,440,409,10510,95,14,6,TRUE
1160860000000000000.00,8,71,0,0,0,56665222,2161,183,254,5508,182,30,6,TRUE
1161080000000000000.00,0,0,0,0,1,85664182,7124,313,299,12725,221,42,5,TRUE
1161140000000000000.00,0,0,0,0,2,92243807,115,41,695,379,33,6,5,TRUE
1161200000000000000.00,0,0,0,0,1,79134011,1291,264,112,1983,37,9,4,TRUE
1161210000000000000.00,0,0,0,0,1,33506068,522,445,251,10455,57,9,6,TRUE
1161930000000000000.00,0,0,0,0,1,95494692,3787,967,3618,23007,216,37,5,FALSE
1162020000000000000.00,53,93,0,0,0,97316295,3846,21,2975193,34427,166,32,5,FALSE
1162220000000000000.00,0,0,0,0,0,92080832,949,77,409,1660,22,6,3,TRUE
1162220000000000000.00,0,0,0,0,1,83736699,5478,80,335,5266,184,37,4,TRUE
1162230000000000000.00,19,154,0,0,0,40523038,4676,909,165643,28717,83,16,5,FALSE
1162250000000000000.00,0,0,0,0,1,76324893,1720,44,21,258,103,17,6,TRUE
1162270000000000000.00,226,818,0,1,0,50015583,1341,1279,9484,1992,222,29,7,FALSE
1162390000000000000.00,0,0,0,0,0,72528842,2044,253,479,13269,84,15,5,FALSE
1162390000000000000.00,0,0,0,0,1,93591316,12922,196,143,4209,7,1,7,TRUE
1162400000000000000.00,0,0,0,0,1,76684200,16019,168,128,1218,69,11,6,TRUE
1162440000000000000.00,0,0,0,0,0,96954618,18386,268,200,11991,54,9,6,TRUE
1162600000000000000.00,0,0,0,0,0,40214064,3207,599,704,8735,37,6,6,TRUE
1162620000000000000.00,0,0,0,0,1,94573877,6914,1438,396,18698,219,36,6,TRUE
1162640000000000000.00,0,0,0,0,1,73673589,17310,227,84,6733,50,8,6,FALSE
1162730000000000000.00,1,5,0,0,3,97184872,16791,386,1791,1242,156,21,7,FALSE
1162740000000000000.00,0,0,2,2,0,35830834,15,21,3,46,222,46,4,TRUE
1163150000000000000.00,11,10,1,1,0,61168062,172,12,4895207,526044,85,15,5,FALSE
1163160000000000000.00,0,0,0,3,0,93150869,8453,386,1540,7718,60,15,4,TRUE
1163170000000000000.00,3,3,0,1,0,97779384,8,4,60522,311526,17,2,8,FALSE
1163190000000000000.00,0,0,0,0,2,87805997,6213,222,275,6324,21,4,5,TRUE
1205130000000000000.00,0,0,0,0,1,65934938,241,652,392,30131,61,14,4,FALSE
1207040000000000000.00,0,1,0,0,0,91804380,3622,284,149,3540,112,19,5,TRUE
1207040000000000000.00,0,2,0,1,0,95173061,1171,250,322,363,107,20,5,TRUE
1207170000000000000.00,0,3,0,0,0,18871213,42131,2361,1429,24461,20,4,5,TRUE
1207250000000000000.00,0,0,0,0,3,70692920,5746,1451,355,19312,190,32,5,TRUE
1207260000000000000.00,1,6,0,0,0,58465695,15523,710,2323,49604,146,23,6,TRUE
1207270000000000000.00,0,0,0,0,1,82694145,1953,811,131,6726,26,7,3,TRUE
1207280000000000000.00,0,5,0,0,0,87412370,51183,375,870,18802,42,7,6,FALSE
1207280000000000000.00,4,266,0,1,0,77431747,22568,5626,17408,2003,36,7,5,FALSE
1207280000000000000.00,0,0,0,0,2,91548144,15302,2460,441,12378,45,8,5,TRUE
1207300000000000000.00,0,0,0,0,1,95435139,269,1711,218,1420,41,9,4,TRUE
69176700000000000.00,12,4,0,0,0,214930248,850,1185,918495,24210,72,12,6,FALSE
154195000000000000.00,1,0,0,0,0,99174814,7529,508,851,25117,117,20,5,FALSE
435761000000000000.00,1,5,0,0,1,165594822,1803,559,310840,2664,34,7,4,FALSE
492309000000000000.00,12,4,0,1,0,117730774,0,1,16174,42546,67,10,6,FALSE
516700000000000000.00,614,2137,0,0,0,168646867,14467,276,33864,17592,115,19,6,FALSE
589087000000000000.00,44,166,1,1,1,128489696,233,70,436455,5517,61,7,8,FALSE
750202000000000000.00,356,3765,0,1,0,215895987,16532,282,19677,13228,53,7,7,FALSE
810257000000000000.00,362,2613,0,0,0,111561347,61397,387,1911,53642,82,16,5,FALSE
913390000000000000.00,407,1635,0,2,0,148735179,351166,5560,5716,3093,66,12,5,FALSE
942787000000000000.00,22,61,0,1,0,158403137,112,73,68280,46078,88,11,8,FALSE
949994000000000000.00,95,338,1,1,0,109094047,81,11,38966,60428,106,15,7,FALSE
1011560000000000000.00,5627,46465,0,0,0,168822436,6546,243,16276,5345,89,14,6,TRUE
1012230000000000000.00,1,32,0,0,0,106791383,355378,535,4872,43112,93,16,5,TRUE
1028210000000000000.00,1,6,1,1,0,108278047,44012,702,902,26931,176,29,6,FALSE
1038550000000000000.00,53,503,0,1,0,180291002,86905,182,4648,1671,64,9,7,FALSE
1040690000000000000.00,13,158,0,2,0,180291002,86905,182,4648,1671,69,11,6,FALSE
1050130000000000000.00,0,1,0,0,1,209685034,1628,408,137,6655,59,10,5,FALSE
1058390000000000000.00,30,603,0,0,0,125133622,3980,236,84904,3045,51,8,6,FALSE
1058990000000000000.00,1,0,0,0,0,153934325,956,296,228,4606,42,8,5,FALSE
1089480000000000000.00,77,375,0,1,0,137630414,3,2,798943,6484,58,9,6,FALSE
1117130000000000000.00,8194,32987,0,1,0,161260091,1424,460,7890,7547,28,5,5,FALSE
1123600000000000000.00,160,2211,0,0,0,150566311,12936,567,6508178,86135,24,5,4,FALSE
1125750000000000000.00,1420,22883,0,0,0,163848722,3188,0,3636998,37446,51,10,5,FALSE
1126250000000000000.00,3969,12516,1,1,0,177884455,4731,2052,1056957,27185,238,37,6,FALSE
1133870000000000000.00,227,4768,0,0,0,163848722,3188,0,3636998,37446,17,3,5,FALSE
1138100000000000000.00,2261,9216,0,0,0,214017108,0,0,4930135,5438,247,32,7,FALSE
1142090000000000000.00,55,1416,0,1,0,187486480,3,22,27550,4986,95,15,6,FALSE
1143580000000000000.00,409,5472,0,1,0,167835569,20401,278,28000,15122,74,12,6,FALSE
1145560000000000000.00,36,164,1,1,0,124496782,456,590,11406,91,224,36,6,FALSE
1146430000000000000.00,135,1207,0,0,0,157948384,480,881,7170,3753,124,17,7,FALSE
1146430000000000000.00,47,523,0,0,0,157948384,480,881,7170,3753,124,17,7,FALSE
1146520000000000000.00,65,858,0,1,0,165594822,1803,559,310840,2664,5,1,5,FALSE
1147150000000000000.00,47,51,0,3,1,175868806,1381,3593,8162,6056,203,34,5,FALSE
1148380000000000000.00,4,2,0,0,3,124726283,20427,1665,30865,33328,55,9,6,FALSE
1149750000000000000.00,2,141,3,1,0,215358937,41754,2810,3596,7675,80,13,6,FALSE
1150780000000000000.00,152,1436,0,0,0,127202275,1239,311,17272,8982,27,5,5,FALSE
1150880000000000000.00,1071,6817,0,0,0,176064753,107835,228,89888,18985,176,28,6,FALSE
1151370000000000000.00,47,387,0,0,0,221378591,668,52,3639,12190,69,13,5,FALSE
1152160000000000000.00,88,3328,0,0,0,165594822,1803,559,310840,2664,42,9,4,FALSE
1152290000000000000.00,1,27,0,0,2,146189635,2052,245,476,10290,81,15,5,FALSE
1153000000000000000.00,18,146,1,1,0,120450575,13274,463,468,4513,207,36,5,TRUE
1153560000000000000.00,93,382,0,0,0,182365162,2625,2517,52420,36483,195,27,7,FALSE
1153960000000000000.00,235,2790,0,1,2,177884455,4731,2052,1056957,27185,167,35,4,FALSE
1154420000000000000.00,766,1037,0,1,0,219459066,29915,1408,142471,34367,234,36,6,FALSE
1154990000000000000.00,15279,70262,1,0,0,170428440,650,121,6731254,1853,114,19,6,FALSE
1155000000000000000.00,5085,42089,0,1,0,157813728,3985,20762,38985,15148,21,5,4,FALSE
1155210000000000000.00,2075,8646,0,0,0,173315794,25272,1736,398342,1478,85,12,7,FALSE
1155560000000000000.00,69,1258,0,0,0,106093163,37368,528,53804,63780,181,31,5,FALSE
1156960000000000000.00,3502,19045,0,0,0,214017108,0,0,4930135,5438,58,7,8,FALSE
1157210000000000000.00,92,562,0,0,0,184006040,2126,620,45996,6317,156,29,5,FALSE
1157290000000000000.00,26,306,1,1,0,125332490,12,5,100432,11370,136,18,7,FALSE
1157310000000000000.00,226,1539,1,0,0,98634644,1021,211,460583,57449,226,41,5,FALSE
